,x,y,label
TCGA-P6-A5OG-01,-5.645707506495093,1.1088359867680357,ACC
TCGA-OR-A5LP-01,6.868295530255934,19.896589030649004,ACC
TCGA-OR-A5J1-01,7.071055208298718,19.302069464703198,ACC
TCGA-OR-A5L9-01,7.0236710437793,19.957667153317814,ACC
TCGA-OR-A5J5-01,7.139618164478403,19.288664143584395,ACC
TCGA-OR-A5K1-01,6.969341870221525,19.950456266310244,ACC
TCGA-OR-A5LC-01,7.002674020622463,19.33710126442183,ACC
TCGA-PA-A5YG-01,6.907788981968412,19.857413122366008,ACC
TCGA-OR-A5L6-01,6.999190548162189,19.826404861054275,ACC
TCGA-OR-A5LR-01,6.943646493654872,19.9405548543002,ACC
TCGA-OR-A5KX-01,7.0222657930044505,19.373658133373773,ACC
TCGA-OR-A5JX-01,7.059335460202759,19.569310192250214,ACC
TCGA-OR-A5KW-01,7.11966409584607,19.614611864149296,ACC
TCGA-OR-A5K0-01,7.0028176670946385,19.34583829934555,ACC
TCGA-OR-A5J2-01,7.079578837964069,19.277990965574304,ACC
TCGA-OR-A5K4-01,6.95958119878196,19.9934095756157,ACC
TCGA-OR-A5K6-01,6.938413439292002,19.272300439619517,ACC
TCGA-OR-A5K2-01,6.984437612192751,19.237225500355407,ACC
TCGA-OR-A5LM-01,7.123136464259987,19.674757557558863,ACC
TCGA-OR-A5JR-01,6.906663649307572,19.97250715372057,ACC
TCGA-OR-A5K5-01,7.019181851154119,19.241304893668108,ACC
TCGA-OR-A5K3-01,7.070981282495448,19.806731580509958,ACC
TCGA-OR-A5JA-01,7.163750248256922,19.600708379006917,ACC
TCGA-OR-A5L8-01,7.123063102663826,19.33064493739806,ACC
TCGA-OR-A5J8-01,-5.278009888503278,1.0373243713889102,ACC
TCGA-OU-A5PI-01,7.167007820543925,19.36492846413688,ACC
TCGA-OR-A5JB-01,-5.964156013294057,0.7969473152937466,ACC
TCGA-OR-A5JM-01,7.066640989395432,19.167884640372673,ACC
TCGA-OR-A5LN-01,6.934615151068537,19.90230556629778,ACC
TCGA-OR-A5LA-01,6.928969359888319,19.950036646576066,ACC
TCGA-OR-A5JL-01,7.055328046236962,19.7435492884427,ACC
TCGA-OR-A5JF-01,7.111912888555854,19.423773033045435,ACC
TCGA-PK-A5HB-01,7.096156432564353,19.475872671887345,ACC
TCGA-OR-A5LK-01,6.9315177217582615,19.99242934124675,ACC
TCGA-OR-A5LT-01,6.944923309139924,19.90426623047402,ACC
TCGA-OR-A5LO-01,7.143434969580318,19.308502972953868,ACC
TCGA-OR-A5JZ-01,6.968394338310827,19.924336017925317,ACC
TCGA-OR-A5LL-01,6.925136874845449,19.551740909812995,ACC
TCGA-OR-A5K9-01,6.965483688653504,19.247840545430094,ACC
TCGA-OR-A5JY-01,7.03156707275228,19.291321728249144,ACC
TCGA-OR-A5LJ-01,7.086856294156286,19.320574056886983,ACC
TCGA-OR-A5J7-01,7.0057859628819195,19.2517038864732,ACC
TCGA-OR-A5JD-01,6.865076145410064,19.886253859789974,ACC
TCGA-OR-A5JK-01,7.005056437017795,19.70623735116312,ACC
TCGA-OR-A5L4-01,7.059696554467838,19.798865137356756,ACC
TCGA-OR-A5JT-01,6.945420301066828,19.946466865857694,ACC
TCGA-OR-A5JP-01,6.987418148683629,19.26945806140231,ACC
TCGA-OR-A5JW-01,7.035467006940245,19.578272421351784,ACC
TCGA-OR-A5JO-01,6.8738071273627375,19.855112667647923,ACC
TCGA-OR-A5KT-01,6.981072510788874,19.55067627464579,ACC
TCGA-OR-A5JE-01,7.0057386336909815,19.25203866679527,ACC
TCGA-PK-A5HA-01,6.939516848735301,19.98538673161426,ACC
TCGA-OR-A5LE-01,7.053652733473148,19.256585273596528,ACC
TCGA-OR-A5K8-01,7.09131830292712,19.55647602034687,ACC
TCGA-OR-A5JC-01,7.09330344096083,19.563920890658554,ACC
TCGA-OR-A5J3-01,7.157696722420435,19.490729372627623,ACC
TCGA-OR-A5KV-01,7.14511725734587,19.326276272427776,ACC
TCGA-OR-A5LS-01,7.14180482088314,19.25793114780942,ACC
TCGA-OR-A5LG-01,6.910975500450704,19.62285619755071,ACC
TCGA-OR-A5J6-01,6.966977715540534,19.773486371664923,ACC
TCGA-OR-A5LB-01,7.12757397053852,19.40127756934484,ACC
TCGA-OR-A5JJ-01,7.083114223449075,19.336661557199356,ACC
TCGA-OR-A5KO-01,7.0614204704577475,19.487907429150916,ACC
TCGA-OR-A5JI-01,6.861613867642449,19.914802383493843,ACC
TCGA-PK-A5H8-01,7.017339087614729,19.838568059796156,ACC
TCGA-OR-A5KZ-01,7.044979386765952,19.403578427679907,ACC
TCGA-PK-A5H9-01,6.925550361288856,19.790899015135384,ACC
TCGA-OR-A5L3-01,6.928012667193168,19.482383807509436,ACC
TCGA-OR-A5KY-01,7.081220585562169,19.329099306640206,ACC
TCGA-OR-A5J9-01,7.153080117875379,19.26045939556667,ACC
TCGA-OR-A5JV-01,7.006127852959208,19.8324505824211,ACC
TCGA-OR-A5L5-01,6.8753921518551335,19.820389910916514,ACC
TCGA-OR-A5JS-01,6.983430209777767,19.40829949789395,ACC
TCGA-P6-A5OF-01,7.1066811597924,19.404890238212968,ACC
TCGA-OR-A5JG-01,7.065068785816858,19.478434254963997,ACC
TCGA-OR-A5LH-01,7.089785110108176,19.69616166776212,ACC
TCGA-OR-A5KU-01,7.088659189467895,19.48822684563597,ACC
TCGA-K4-A5RH-01,-5.949060265444149,0.9720004134846227,BLCA
TCGA-DK-AA6U-01,-0.6485111407347267,-2.5267873554936093,BLCA
TCGA-FD-A62P-01,-0.17026223682253017,-2.0911250122858474,BLCA
TCGA-G2-A2EF-01,0.43861791485574453,-0.9260925755983141,BLCA
TCGA-DK-A1AG-01,-0.9224721111062116,-2.074160430091937,BLCA
TCGA-FJ-A3Z9-01,-1.1157346527262106,-2.301309961511372,BLCA
TCGA-DK-A1A3-01,-0.3639906266176134,-2.5761938997208946,BLCA
TCGA-C4-A0F6-01,-0.621318314051727,-2.19468869706198,BLCA
TCGA-GV-A3JV-01,-0.6884797855794542,-2.4843987905188274,BLCA
TCGA-S5-A6DX-01,-0.3093568514245369,-2.498478992840068,BLCA
TCGA-DK-A2I6-01,0.2903594661674067,-1.289050704496294,BLCA
TCGA-E7-A5KE-01,-0.9145147636315427,-2.283455885081819,BLCA
TCGA-UY-A78O-01,-0.7670245278805105,-2.4084314920125105,BLCA
TCGA-GU-A42P-01,-0.7068624582677258,-2.618300644224172,BLCA
TCGA-XF-A9T3-01,0.26430765353423624,-1.4617750752574792,BLCA
TCGA-DK-A6B6-01,-0.8824823151339667,-2.5557015786702273,BLCA
TCGA-G2-A3VY-01,-0.8277395546936223,-2.583879943497901,BLCA
TCGA-K4-A54R-01,-0.5029038153486585,-2.3677463163885193,BLCA
TCGA-XF-A9T8-01,0.31719763624772707,-0.37393500611481056,BLCA
TCGA-CF-A47W-01,-1.2295870906327857,-2.3326163117859133,BLCA
TCGA-FD-A3SR-01,-0.2608529218530126,-2.512396455394128,BLCA
TCGA-YF-AA3M-01,-0.0264938984931751,-1.4435123856299907,BLCA
TCGA-GD-A2C5-01,-0.427140193244843,-2.4290221675326524,BLCA
TCGA-GC-A3WC-11,0.041664804706365285,-2.401186041605037,BLCA
TCGA-FD-A3N5-01,1.5278027064828745,-1.4016977107452895,BLCA
TCGA-E5-A4U1-01,-0.8416077408441986,-2.4504667841856653,BLCA
TCGA-BT-A20N-01,-0.36474666672476813,-2.066811042215676,BLCA
TCGA-CU-A0YR-01,-0.6314638586369936,-2.478637794879562,BLCA
TCGA-4Z-AA86-01,0.5468716943502517,-1.0638249251604301,BLCA
TCGA-CF-A9FM-01,-1.1347245096732168,-2.2717375689832995,BLCA
TCGA-R3-A69X-01,-0.21322067595276145,-2.4349628995280432,BLCA
TCGA-C4-A0F1-01,1.5692171027362138,-0.9005017377110298,BLCA
TCGA-FD-A5BY-01,0.2593241622414557,-0.2759573671942999,BLCA
TCGA-FD-A62N-01,0.4786439208536169,-1.100554534831077,BLCA
TCGA-XF-A9SZ-01,-0.3760536441554874,-2.2816319750316363,BLCA
TCGA-BL-A13I-01,-5.646826945372443,1.0860362660362033,BLCA
